[Sun Dec 17 23:16:02 2017], caculated one time, save new file = [./imgFile/result_1.jpg].
[Sun Dec 17 23:17:14 2017], vision worm classification ones, save result as [./imgFile/result_1.jpg].
[Mon Dec 18 09:49:46 2017], vision worm classification ones, save result as [./imgFile/result_1.JPG].
[Mon Dec 18 09:54:49 2017], vision worm classification ones, save result as [./imgFile/result_1.jpg].
[Mon Dec 18 09:57:04 2017], vision worm classification ones, save result as [./imgFile/result_2.jpg].
[Mon Dec 18 09:57:21 2017], vision worm classification ones, save result as [./imgFile/result_3.JPG].
[Mon Dec 18 09:57:39 2017], vision worm classification ones, save result as [./imgFile/result_4.JPG].
[Mon Dec 18 09:57:59 2017], vision worm classification ones, save result as [./imgFile/result_5.JPG].
[Mon Dec 18 09:58:30 2017], vision worm classification ones, save result as [./imgFile/result_5.JPG].
[Mon Dec 18 09:58:45 2017], vision worm classification ones, save result as [./imgFile/result_6.JPG].
[Mon Dec 18 09:59:21 2017], vision worm classification ones, save result as [./imgFile/result_7.JPG].
[Mon Dec 18 09:59:37 2017], vision worm classification ones, save result as [./imgFile/result_8.JPG].
[Mon Dec 18 10:00:10 2017], vision worm classification ones, save result as [./imgFile/result_8.JPG].
[Mon Dec 18 10:00:26 2017], vision worm classification ones, save result as [./imgFile/result_9.JPG].
[Mon Dec 18 10:00:43 2017], vision worm classification ones, save result as [./imgFile/result_10.JPG].
[Mon Dec 18 10:02:50 2017], vision worm classification ones, save result as [./imgFile/result_1.JPG].
[Mon Dec 18 10:03:10 2017], vision worm classification ones, save result as [./imgFile/result_2.JPG].
[Mon Dec 18 10:03:28 2017], vision worm classification ones, save result as [./imgFile/result_3.JPG].
[Mon Dec 18 10:03:46 2017], vision worm classification ones, save result as [./imgFile/result_4.JPG].
[Mon Dec 18 10:04:09 2017], vision worm classification ones, save result as [./imgFile/result_5.JPG].
[Mon Dec 18 10:04:32 2017], vision worm classification ones, save result as [./imgFile/result_6.JPG].
[Mon Dec 18 10:05:00 2017], vision worm classification ones, save result as [./imgFile/result_7.JPG].
[Mon Dec 18 10:05:28 2017], vision worm classification ones, save result as [./imgFile/result_8.JPG].
[Mon Dec 18 10:05:55 2017], vision worm classification ones, save result as [./imgFile/result_9.JPG].
[Mon Dec 18 10:14:42 2017], vision worm classification ones, save result as [./imgFile/result_1.JPG].
[Mon Dec 18 10:14:53 2017], vision worm classification ones, save result as [./imgFile/result_2.JPG].
[Mon Dec 18 10:17:47 2017], vision worm classification ones, save result as [./imgFile/result_1.JPG].
[Mon Dec 18 10:17:58 2017], vision worm classification ones, save result as [./imgFile/result_2.JPG].
[Mon Dec 18 10:18:08 2017], vision worm classification ones, save result as [./imgFile/result_3.JPG].
[Mon Dec 18 10:18:19 2017], vision worm classification ones, save result as [./imgFile/result_4.JPG].
[Mon Dec 18 10:18:30 2017], vision worm classification ones, save result as [./imgFile/result_5.JPG].
[Mon Dec 18 10:51:22 2017], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Mon Dec 18 10:51:33 2017], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Wed Dec 27 09:42:29 2017], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Wed Dec 27 09:42:42 2017], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Fri Feb 16 11:20:15 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Fri Feb 16 11:20:30 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 11:59:12 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 11:59:15 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 12:12:39 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 12:12:43 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 12:12:48 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 12:12:52 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 12:15:23 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 12:15:26 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 12:16:42 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 12:16:45 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 13:43:13 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 13:43:17 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 13:46:29 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 13:46:33 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 13:47:48 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 13:47:52 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 13:48:10 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 13:48:13 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Feb 22 13:48:43 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Feb 22 13:48:47 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Fri Feb 23 00:30:23 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Fri Feb 23 00:30:26 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Fri Feb 23 00:31:11 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Fri Feb 23 00:31:15 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Wed Mar 28 09:14:56 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Sun Apr 29 12:55:56 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Sun Apr 29 12:55:59 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Jun  7 09:58:52 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Jun  7 09:58:56 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Jun  7 10:02:34 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Jun  7 10:02:38 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
[Thu Jun  7 11:23:33 2018], vision worm classification ones, save result as [./imgFile/result_11.JPG].
[Thu Jun  7 11:23:37 2018], vision worm classification ones, save result as [./imgFile/result_12.JPG].
